Deney,Mod,Episode,Sure,Skor,StateSayisi,Sonuc,Epsilon,Streak
QLearning,TRAIN,1,40.00,-168.36,27,Timeout,1.000,0
QLearning,TRAIN,2,40.00,-553.88,28,Timeout,0.995,0
QLearning,TRAIN,3,40.00,-744.98,28,Timeout,0.990,0
QLearning,TRAIN,4,29.04,2100.19,33,Basari,0.985,1
QLearning,TRAIN,5,40.00,-500.60,37,Timeout,0.980,0
QLearning,TRAIN,6,40.00,-716.72,37,Timeout,0.975,0
QLearning,TRAIN,7,28.82,1880.16,37,Basari,0.970,1
QLearning,TRAIN,8,38.64,1556.39,37,Basari,0.966,2
QLearning,TRAIN,9,27.24,1841.90,37,Basari,0.961,3
QLearning,TRAIN,10,40.00,-764.21,37,Timeout,0.956,0
QLearning,TRAIN,11,40.00,-746.01,37,Timeout,0.951,0
QLearning,TRAIN,12,23.48,2061.13,37,Basari,0.946,1
QLearning,TRAIN,13,14.19,-445.94,37,Takılma,0.942,1
QLearning,TRAIN,14,21.19,1747.33,37,Basari,0.937,2
QLearning,TRAIN,15,23.86,1737.04,37,Basari,0.932,3
QLearning,TRAIN,16,27.83,-586.18,37,Takılma,0.928,3
QLearning,TRAIN,17,40.00,-783.99,37,Timeout,0.923,0
QLearning,TRAIN,18,40.00,-706.40,37,Timeout,0.918,0
QLearning,TRAIN,19,40.00,-819.14,37,Timeout,0.914,0
QLearning,TRAIN,20,22.55,1785.28,37,Basari,0.909,1
QLearning,EVAL,21,4.04,-300.79,37,Takılma,0.905,1
QLearning,EVAL,22,4.03,-300.79,37,Takılma,0.905,1
QLearning,TRAIN,23,22.78,1743.23,37,Basari,0.905,2
QLearning,TRAIN,24,40.00,-714.98,37,Timeout,0.900,0
QLearning,TRAIN,25,40.00,-721.83,37,Timeout,0.896,0
QLearning,TRAIN,26,10.72,1930.75,37,Basari,0.891,1
QLearning,TRAIN,27,40.00,-748.32,37,Timeout,0.887,0
QLearning,TRAIN,28,40.00,-738.94,37,Timeout,0.882,0
QLearning,TRAIN,29,40.00,-705.99,37,Timeout,0.878,0
QLearning,TRAIN,30,40.00,-848.41,37,Timeout,0.873,0
QLearning,TRAIN,31,40.00,-773.14,37,Timeout,0.869,0
QLearning,TRAIN,32,40.00,-785.69,37,Timeout,0.865,0
QLearning,TRAIN,33,40.00,-753.55,37,Timeout,0.860,0
QLearning,TRAIN,34,8.51,2443.51,42,Basari,0.856,1
QLearning,TRAIN,35,40.00,-770.94,42,Timeout,0.852,0
QLearning,TRAIN,36,40.00,-789.75,42,Timeout,0.848,0
QLearning,TRAIN,37,40.00,-764.12,42,Timeout,0.843,0
QLearning,TRAIN,38,40.00,-650.36,42,Timeout,0.839,0
QLearning,TRAIN,39,40.00,-674.60,42,Timeout,0.835,0
QLearning,TRAIN,40,20.93,2038.93,42,Basari,0.831,1
QLearning,EVAL,41,4.18,-300.81,42,Takılma,0.827,1
QLearning,EVAL,42,4.20,-300.81,42,Takılma,0.827,1
QLearning,TRAIN,43,40.00,-723.75,42,Timeout,0.827,0
QLearning,TRAIN,44,40.00,-739.75,42,Timeout,0.822,0
QLearning,TRAIN,45,40.00,-742.25,42,Timeout,0.818,0
QLearning,TRAIN,46,40.00,-698.31,42,Timeout,0.814,0
QLearning,TRAIN,47,40.00,-787.26,42,Timeout,0.810,0
QLearning,TRAIN,48,39.11,1570.52,42,Basari,0.806,1
QLearning,TRAIN,49,40.00,-754.09,42,Timeout,0.802,0
QLearning,TRAIN,50,40.00,-725.75,42,Timeout,0.798,0
QLearning,TRAIN,51,40.00,-756.96,42,Timeout,0.794,0
QLearning,TRAIN,52,40.00,-710.06,42,Timeout,0.790,0
QLearning,TRAIN,53,40.00,-739.60,42,Timeout,0.786,0
QLearning,TRAIN,54,40.00,-701.99,42,Timeout,0.782,0
QLearning,TRAIN,55,40.01,-701.75,42,Timeout,0.778,0
QLearning,TRAIN,56,40.00,-728.37,42,Timeout,0.774,0
QLearning,TRAIN,57,40.02,-773.93,42,Timeout,0.771,0
QLearning,TRAIN,58,40.01,-721.47,42,Timeout,0.767,0
QLearning,TRAIN,59,40.00,-733.58,42,Timeout,0.763,0
QLearning,TRAIN,60,40.01,-748.35,42,Timeout,0.759,0
QLearning,EVAL,61,23.59,-301.87,42,Takılma,0.755,0
QLearning,EVAL,62,23.44,-301.85,42,Takılma,0.755,0
QLearning,TRAIN,63,40.00,-716.51,42,Timeout,0.755,0
QLearning,TRAIN,64,38.05,1642.92,42,Basari,0.751,1
QLearning,TRAIN,65,40.02,-706.45,42,Timeout,0.748,0
QLearning,TRAIN,66,40.02,-716.33,42,Timeout,0.744,0
QLearning,TRAIN,67,40.01,-766.12,42,Timeout,0.740,0
QLearning,TRAIN,68,40.01,-732.40,42,Timeout,0.737,0
QLearning,TRAIN,69,40.01,-718.82,42,Timeout,0.733,0
QLearning,TRAIN,70,40.00,-712.81,42,Timeout,0.729,0
QLearning,TRAIN,71,40.00,-781.48,42,Timeout,0.726,0
QLearning,TRAIN,72,40.00,-752.09,42,Timeout,0.722,0
QLearning,TRAIN,73,40.02,-800.69,42,Timeout,0.718,0
QLearning,TRAIN,74,40.02,-733.32,42,Timeout,0.715,0
QLearning,TRAIN,75,39.54,1812.49,42,Basari,0.711,1
QLearning,TRAIN,76,40.01,-703.80,42,Timeout,0.708,0
QLearning,TRAIN,77,40.00,-697.72,42,Timeout,0.704,0
QLearning,TRAIN,78,24.88,1737.00,42,Basari,0.701,1
QLearning,TRAIN,79,40.02,-745.27,42,Timeout,0.697,0
QLearning,TRAIN,80,40.01,-710.94,42,Timeout,0.694,0
QLearning,EVAL,81,22.85,-303.77,42,Takılma,0.690,0
QLearning,EVAL,82,20.89,-303.47,42,Takılma,0.690,0
